0.5,0.063829541,0.417198455
0.75,0.046613879,0.424831946
1,0.054398217,0.436418893
1.25,0.064182554,0.452119015
1.5,0.070966892,0.472136257
1.75,0.07275123,0.496713355
2,0.085535567,0.526126055
2.25,0.082319905,0.560676801
2.5,0.088104243,0.600687862
2.75,0.10488858,0.646493975
3,0.111672918,0.698434682
3.25,0.126457256,0.756846483
3.5,0.145241593,0.822054869
3.75,0.177025931,0.894366246
4,0.198810269,0.974059657
4.25,0.204594606,1.061378125
4.5,0.229378944,1.156519429
4.75,0.258163282,1.259626374
5,0.277947619,1.370776847
5.25,0.312731957,1.489973985
5.5,0.352516295,1.61713679
5.75,0.382300632,1.752091428
6,0.41408497,1.89456347
6.25,0.439869308,2.044171301
6.5,0.469653645,2.200421107
6.75,0.500437983,2.36270401
7,0.537222321,2.530296077
7.25,0.582006658,2.702361926
7.5,0.641790996,2.877962489
7.75,0.680575334,3.056067172
8,0.730359671,3.235570227
8.25,0.783144009,3.4153108
8.5,0.818928347,3.594095976
8.75,0.865712684,3.770725931
9,0.909497022,3.94402025
9.25,0.95928136,4.11284434
9.5,0.984065697,4.276134727
9.75,1.011850035,4.432921889
10,1.033634373,4.58234945
10.25,1.04541871,4.72368903
10.5,1.055203048,4.856350535
10.75,1.075987386,4.97988814
11,1.097771724,5.094002444
11.25,1.111556061,5.198539275
11.5,1.115340399,5.293485326
11.75,1.119124737,5.378960687
12,1.128909074,5.455208568
12.25,1.144693412,5.522582754
12.5,1.14447775,5.581533344
12.75,1.148262087,5.632591103
13,1.136046425,5.676350681
13.25,1.135830763,5.713453146
13.5,1.1316151,5.744568656
13.75,1.145399438,5.770380217
14,1.165183776,5.791569312
14.25,1.160968113,5.808803618
14.5,1.166752451,5.82272646
14.75,1.170536789,5.833947475
15,1.160321126,5.843034135
15.25,1.154105464,5.850504081
15.5,1.149889802,5.856818502
15.75,1.155674139,5.862377056
16,1.161458477,5.867514891
16.25,1.167242815,5.872502023
16.5,1.165027152,5.87754497
16.75,1.16681149,5.882790339
17,1.176595828,5.888330093
17.25,1.190380165,5.894208305
17.5,1.200164503,5.900429028
17.75,1.194948841,5.906964633
18,1.217733178,5.913763858
18.25,1.211517516,5.920759003
18.5,1.197301854,5.927872034
18.75,1.191086191,5.935019589
19,1.195870529,5.942116996
19.25,1.199654867,5.949081579
19.5,1.203439204,5.955835472
19.75,1.210223542,5.962307966
20,1.21200788,5.968437327
20.25,1.217792217,5.974172012
20.5,1.220576555,5.979471335
20.75,1.220360893,5.984305636
21,1.22314523,5.988656069
21.25,1.225929568,5.99251406
21.5,1.233713906,5.995880523
21.75,1.233498243,5.998764905
22,1.243282581,6.001184102
22.25,1.249066919,6.003161313
22.5,1.256851257,6.004724869
22.75,1.256635594,6.005907071
23,1.264419932,6.00674308
23.25,1.28020427,6.007269863
23.5,1.271988607,6.007525236
23.75,1.265772945,6.007546997
24,1.265557283,6.007372172
24.25,1.26334162,6.007036373
24.5,1.267125958,6.006573265
24.75,1.270910296,6.006014144
25,1.272694633,6.005387623
25.25,1.272478971,6.004719418
25.5,1.268263309,6.004032215
25.75,1.272047646,6.003345633
26,1.275831984,6.002676247
26.25,1.280616322,6.002037679
26.5,1.282400659,6.001440735
26.75,1.283184997,6.000893587
27,1.285969335,6.000401985
27.25,1.292753672,5.999969491
27.5,1.28953801,5.999597729
27.75,1.314322348,5.999286638
28,1.319106685,5.99903473
28.25,1.318891023,5.998839342
28.5,1.322675361,5.998696869
28.75,1.319459698,5.998603
29,1.326244036,5.998552917
29.25,1.325028374,5.998541494
29.5,1.324812711,5.99856346
29.75,1.334597049,5.998613546
30,1.331381387,5.998686617
30.25,1.333165724,5.99877777
30.5,1.337950062,5.998882417
30.75,1.3427344,5.998996355
31,1.344518737,5.999115804
31.25,1.348303075,5.99923744
31.5,1.344087413,5.999358405
31.75,1.34187175,5.999476307
32,1.345656088,5.999589212
32.25,1.351440426,5.999695616
32.5,1.347224763,5.99979442
32.75,1.351009101,5.99988489
33,1.348793439,5.99996662
33.25,1.348577776,6.000039485
33.5,1.350362114,6.000103599
33.75,1.354146452,6.000159261
34,1.35793079,6.000206917
34.25,1.353715127,6.000247113
34.5,1.357499465,6.000280448
34.75,1.351283803,6.000307543
35,1.35506814,6.000328998
35.25,1.356852478,6.000345366
35.5,1.358636816,6.000357123
35.75,1.358421153,6.00036465
36,1.356205491,6.000368211
