Strain 1,,,,,,Parental Strain,,,,Strain 2,,,,,Strain1,Strain1,Strain1,H3R63A.5,Strain1,SD
,Day 2,Day 7,Day 21,,,Day 2,Day 7,Day 21,,,Day 2,Day 7,Day 21,,100,100,100,100,100,0
10,1.08341871,0.828619381,0.243089875,,10,1.13441871,0.981619381,0.770089875,,10,1.15841871,1.062619381,0.696089875,,,,,,,
10.25,1.089203048,0.870062694,0.259856814,,10.25,1.140203048,1.020062694,0.791856814,,10.25,1.164203048,1.094062694,0.723856814,,,,,,,
10.5,1.092987386,0.904506007,0.276623754,,10.5,1.147987386,1.045506007,0.817623754,,10.5,1.167987386,1.103506007,0.735623754,,,,,,,
10.75,1.094771724,0.943949319,0.295390694,,10.75,1.147771724,1.066949319,0.837390694,,10.75,1.171771724,1.110949319,0.755390694,,,,,,,
11,1.100556061,0.979392632,0.313157634,,11,1.153556061,1.082392632,0.862157634,,11,1.177556061,1.116392632,0.777157634,,,,,,,
11.25,1.102340399,1.002835945,0.322924573,,11.25,1.155340399,1.091835945,0.887924573,,11.25,1.181340399,1.115835945,0.790924573,,,,,,,
11.5,1.105124737,1.008279257,0.337691513,,11.5,1.161124737,1.095279257,0.909691513,,11.5,1.185124737,1.120279257,0.820691513,,,,,,,
11.75,1.105909074,1.01672257,0.353458453,,11.75,1.164909074,1.09872257,0.929458453,,11.75,1.192909074,1.12572257,0.857458453,,,,,,,
12,1.114693412,1.022165883,0.378225392,,12,1.166693412,1.098165883,0.950225392,,12,1.194693412,1.125165883,0.899225392,,,,,,,
12.25,1.11647775,1.025609195,0.393992332,,12.25,1.17447775,1.099609195,0.963992332,,12.25,1.20047775,1.129609195,0.942992332,,,,,,,
12.5,1.124262087,1.027052508,0.419759272,,12.5,1.178262087,1.099052508,0.981759272,,12.5,1.207262087,1.132052508,0.969759272,,,,,,,
12.75,1.132046425,1.030495821,0.435526212,,12.75,1.184046425,1.104495821,0.993526212,,12.75,1.209046425,1.134495821,0.991526212,,,,,,,
13,1.137830763,1.035939133,0.455293151,,13,1.187830763,1.105939133,1.007293151,,13,1.213830763,1.137939133,1.011293151,,,,,,,
13.25,1.1456151,1.037382446,0.479060091,,13.25,1.1956151,1.105382446,1.017060091,,13.25,1.2196151,1.141382446,1.029060091,,,,,,,
13.5,1.149399438,1.040825759,0.504827031,,13.5,1.203399438,1.104825759,1.024827031,,13.5,1.225399438,1.141825759,1.040827031,,,,,,,
13.75,1.155183776,1.044269071,0.52559397,,13.75,1.207183776,1.108269071,1.02859397,,13.75,1.228183776,1.146269071,1.04459397,,,,,,,
14,1.158968113,1.045712384,0.54036091,,14,1.214968113,1.109712384,1.02636091,,14,1.233968113,1.148712384,1.05036091,,,,,,,
14.25,1.162752451,1.049155697,0.56012785,,14.25,1.220752451,1.109155697,1.02612785,,14.25,1.239752451,1.152155697,1.04812785,,,,,,,
14.5,1.172536789,1.046599009,0.58089479,,14.5,1.222536789,1.113599009,1.02589479,,14.5,1.243536789,1.153599009,1.04789479,,,,,,,
14.75,1.182321126,1.056042322,0.599661729,,14.75,1.233321126,1.117042322,1.025661729,,14.75,1.251321126,1.159042322,1.047661729,,,,,,,
15,1.190105464,1.059485635,0.615428669,,15,1.241105464,1.121485635,1.027428669,,15,1.255105464,1.162485635,1.047428669,,,,,,,
15.25,1.193889802,1.066928947,0.636195609,,15.25,1.244889802,1.120928947,1.025195609,,15.25,1.260889802,1.161928947,1.051195609,,,,,,,
15.5,1.197674139,1.06637226,0.655962548,,15.5,1.252674139,1.12337226,1.024962548,,15.5,1.264674139,1.16537226,1.048962548,,,,,,,
15.75,1.206458477,1.067815573,0.674729488,,15.75,1.260458477,1.126815573,1.024729488,,15.75,1.272458477,1.170815573,1.050729488,,,,,,,
16,1.210242815,1.075258885,0.693496428,,16,1.264242815,1.130258885,1.026496428,,16,1.280242815,1.176258885,1.052496428,,,,,,,
16.25,1.216027152,1.082702198,0.706263367,,16.25,1.272027152,1.134702198,1.028263367,,16.25,1.286027152,1.181702198,1.052263367,,,,,,,
16.5,1.21981149,1.090145511,0.728030307,,16.5,1.27581149,1.136145511,1.028030307,,16.5,1.28981149,1.183145511,1.054030307,,,,,,,
16.75,1.225595828,1.095588823,0.745797247,,16.75,1.281595828,1.142588823,1.029797247,,16.75,1.297595828,1.186588823,1.055797247,,,,,,,
17,1.231380165,1.103032136,0.767564187,,17,1.288380165,1.144032136,1.029564187,,17,1.301380165,1.194032136,1.055564187,,,,,,,
17.25,1.237164503,1.108475448,0.781331126,,17.25,1.294164503,1.149475448,1.031331126,,17.25,1.308164503,1.195475448,1.057331126,,,,,,,
17.5,1.240948841,1.115918761,0.807098066,,17.5,1.299948841,1.152918761,1.033098066,,17.5,1.310948841,1.198918761,1.056098066,,,,,,,
17.75,1.244733178,1.123362074,0.826865006,,17.75,1.306733178,1.154362074,1.032865006,,17.75,1.316733178,1.202362074,1.061865006,,,,,,,
18,1.250517516,1.129805386,0.841631945,,18,1.312517516,1.159805386,1.036631945,,18,1.317517516,1.207805386,1.059631945,,,,,,,
18.25,1.252301854,1.139248699,0.861398885,,18.25,1.311301854,1.161248699,1.034398885,,18.25,1.324301854,1.209248699,1.062398885,,,,,,,
18.5,1.258086191,1.146692012,0.875165825,,18.5,1.319086191,1.166692012,1.040165825,,18.5,1.326086191,1.216692012,1.065165825,,,,,,,
18.75,1.267870529,1.156135324,0.888932765,,18.75,1.323870529,1.168135324,1.041932765,,18.75,1.331870529,1.226135324,1.068932765,,,,,,,
19,1.271654867,1.165578637,0.894699704,,19,1.327654867,1.175578637,1.041699704,,19,1.334654867,1.227578637,1.068699704,,,,,,,
19.25,1.271439204,1.17302195,0.896466644,,19.25,1.334439204,1.18502195,1.045466644,,19.25,1.341439204,1.23302195,1.070466644,,,,,,,
19.5,1.275223542,1.176465262,0.896233584,,19.5,1.340223542,1.184465262,1.049233584,,19.5,1.343223542,1.236465262,1.072233584,,,,,,,
19.75,1.28300788,1.185908575,0.900000523,,19.75,1.34300788,1.193908575,1.054000523,,19.75,1.34800788,1.243908575,1.077000523,,,,,,,
20,1.288792217,1.201351888,0.897767463,,20,1.345792217,1.195351888,1.057767463,,20,1.347792217,1.250351888,1.077767463,,,,,,,
