,V1,V2,,,11.5,1.128557473,,,,,,,,,,
20.75,3.599058136,2.60950233,27.8950233,,,,,,,,,,,,,
21,3.680008369,2.56232031,27.4232031,,,,,,,,,,,,,
21.25,3.7562404,2.51329457,26.9329457,,,,,,,,,,,,,
21.5,3.827569857,2.46325048,26.4325048,,,,,,,,,,,,,
21.75,3.893894905,2.4129928,25.929928,,,,,,,,,,,,,
22,3.955194185,2.36329023,25.4329023,,,,,,,,,,,,,
22.25,4.011523208,2.31485917,24.9485917,,,,,,,,,,,,,
22.5,4.063009125,2.26835118,24.4835118,,,,,,,,,,,,,
22.75,4.109844243,2.22434499,24.0434499,,,,,,,,,,,,,
23,4.152278742,2.18334029,23.6334029,,,,,,,,,,,,,
23.25,4.190612771,2.1457523,23.257523,,,,,,,,,,,,,
23.5,4.225188001,2.11190772,22.9190772,,,,,,,,,,,,,
23.75,4.256378773,2.0820432,22.620432,,,,,,,,,,,,,
24,4.284583093,2.056307,22.36307,,,,,,,,,,,,,
24.25,4.310213793,2.03476493,22.1476493,,,,,,,,,,,,,
24.5,4.333690286,2.0174101,21.974101,,,,,,,,,,,,,
24.75,4.355431296,2.00417356,21.8417356,,,,,,,,,,,,,
25,4.375848652,1.99493356,21.7493356,,,,,,,,,,,,,
25.25,4.395342008,1.98952347,21.6952347,,,,,,,,,,,,,
25.5,4.414294355,1.98773621,21.6773621,,,,,,,,,,,,,
25.75,4.433067976,1.98932596,21.6932596,,,,,,,,,,,,,
26,4.452000572,1.99401156,21.7401156,,,,,,,,,,,,,
26.25,4.471401728,2.0014829,21.814829,,,,,,,,,,,,,
26.5,4.491550018,2.01140769,21.9140769,,,,,,,,,,,,,
26.75,4.512690787,2.02343821,22.0343821,,,,,,,,,,,,,
27,4.535034608,2.03721623,22.1721623,,,,,,,,,,,,,
27.25,4.558756231,2.05237248,22.3237248,,,,,,,,,,,,,
27.5,4.583993479,2.06852205,22.4852205,,,,,,,,,,,,,
27.75,4.610845684,2.0852649,22.652649,,,,,,,,,,,,,
28,4.639372174,2.10219412,22.8219412,,,,,,,,,,,,,
28.25,4.669591586,2.11890728,22.9890728,,,,,,,,,,,,,
28.5,4.701482314,2.13501754,23.1501754,,,,,,,,,,,,,
28.75,4.734984068,2.15016422,23.3016422,,,,,,,,,,,,,
29,4.77000049,2.16402306,23.4402306,,,,,,,,,,,,,
29.25,4.806402796,2.17631616,23.5631616,,,,,,,,,,,,,
29.5,4.844034412,2.18682082,23.6682082,,,,,,,,,,,,,
29.75,4.882716494,2.19537377,23.7537377,,,,,,,,,,,,,
30,4.922253871,2.20186712,23.8186712,,,,,,,,,,,,,
30.25,4.962440583,2.20623957,23.8623957,,,,,,,,,,,,,
30.5,5.00306454,2.20846875,23.8846875,,,,,,,,,,,,,
30.75,5.043911415,2.20856363,23.8856363,,,,,,,,,,,,,
31,5.084767778,2.20655217,23.8655217,,,,,,,,,,,,,
31.25,5.125422995,2.20246656,23.8246656,,,,,,,,,,,,,
31.5,5.165669651,2.19633583,23.7633583,,,,,,,,,,,,,
31.75,5.205303234,2.18818823,23.6818823,,,,,,,,,,,,,
32,5.244122057,2.1780571,23.580571,,,,,,,,,,,,,
32.25,5.281927767,2.16598374,23.4598374,,,,,,,,,,,,,
32.5,5.318526141,2.1520149,23.320149,,,,,,,,,,,,,
32.75,5.353727631,2.13619756,23.1619756,,,,,,,,,,,,,
33,5.387347387,2.11857732,22.9857732,,,,,,,,,,,,,
33.25,5.419205119,2.09920263,22.7920263,,,,,,,,,,,,,
33.5,5.449125382,2.07813239,22.5813239,,,,,,,,,,,,,
33.75,5.476938621,2.05544206,22.3544206,,,,,,,,,,,,,
34,5.502482827,2.03122596,22.1122596,,,,,,,,,,,,,
34.25,5.525605423,2.00559735,21.8559735,,,,,,,,,,,,,
34.5,5.546165158,1.9786899,21.586899,,,,,,,,,,,,,
34.75,5.564034148,1.95065883,21.3065883,,,,,,,,,,,,,
35,5.579100031,1.92167781,21.0167781,,,,,,,,,,,,,
35.25,5.591267812,1.89193119,20.7193119,,,,,,,,,,,,,
35.5,5.600460931,1.86160737,20.4160737,,,,,,,,,,,,,
35.75,5.606621668,1.83089668,20.1089668,,,,,,,,,,,,,
